FinalIDassigned,BCG,BCG12,BCG45,Habitat,SPIspecies,SPIspecies12,SPIspecies45,Heterocystous,IndicatorClass_Cu,IndicatorClass_DOC,IndicatorClass_Ref,IndicatorClass_TN,IndicatorClass_TP,Motility,NitrogenUptakeMetabolism,NitrogenUptakeMetabolism2,OxygenRequirements,Salinity,Salinity2,Saprobity,TrophicState,Zygnemataceae,ZHR,CRUS,Green,Phylum,Class,Order,Family,Genus
Mougeotia calcarea,,,,,,,,,,,,,low,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Mougeotia
Mougeotia laevis,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Mougeotia
Mougeotia robusta,,,,,,,,,,,,,,,,,,,,,,yes,yes,,yes,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Mougeotia
Muelleria,,,,BN,5,,yes,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria
Muelleria gibbula,,,,BN,4.9,,yes,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria
Muelleria terrestris,,,,BN,,,,,,,,,,HM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Muelleria
Muriella,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Muriella
Muriella terrestris,,,,,,,,,,,,,,,,,,,,,,,,,yes,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Muriella
Navicula,,,,BN,,,yes,,,,,high,high,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula absoluta,,,,BN,,,,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula amphiceropsis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula angusta,3,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula antonii,3,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula aquaeductae,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula aquaedurae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula arctotenelloides,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula arenaria,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula arvensis,3,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula associata,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula aurora,1,yes,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula bahusiensis,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula brasiliana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula canalis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula capitatoradiata,3,,,BN,3,,,,,,,high,high,MM,NAHON,NAHON,DO_50,FB,FB,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula capitellata,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cari,4,,yes,BN,4,,yes,,,,,high,,MM,NALON,NALON,DO_100,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cascadensis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula caterva,3,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula chiarae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cincta,4,,yes,BN,3,,,,,,,,high,MM,NAHON,NAHON,DO_50,FB,FB,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula concentrica,3,,,BN,,,,,,,,,,MM,,,,F,F,,O,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula constans var symmetrica,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula convexa,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptocephala,4,,yes,BN,3.5,,,,,,,high,high,MM,NAHON,NAHON,DO_50,FB,FB,AM,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptocephaloides,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptotenella,3,,,BN,4,,yes,,,,,high,high,MM,,,,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula cryptotenelloides,2,yes,,BN,3.5,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula densilineolata,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula detenta,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula difficillima,2,yes,,BN,5,,yes,,,,,,,MM,,,DO_100,F,F,,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula digitoradiata,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula duerrenbergiana,,,,BN,2,yes,,,,,,low,low,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula eidrigiana,,,,BN,2.8,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula elginensis var cuneata,,,,BN,4,,yes,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula erifuga,5,,yes,BN,2,yes,,,,,,high,high,MM,,,,BF,Halo,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula escambia,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula exilis,,,,BN,4.8,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula expecta,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula festiva,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gerloffii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula germainii,5,,yes,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula germanopolonica,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula globulifera,3,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula goersii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gottlandica,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula graciloides,4,,yes,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gregalis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula gregaria,5,,yes,BN,3.4,,,,,,,high,high,MM,NAHON,NAHON,DO_30,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula harderi,,,,BN,3.1,,,,,,,high,,MM,,,,F,F,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula hasta,,,,BN,4,,yes,,,,,low,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula hintzii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula hodgeana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula incertata,5,,yes,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula ingenua,5,,yes,BN,2.5,,,,,,,high,high,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula kotschyi,4,,yes,BN,3,,,,,,,,,MM,,,DO_100,FB,FB,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula lanceolata,3,,,BN,3.8,,,,,,,high,high,MM,NAHON,NAHON,DO_50,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula laterostrata,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula leptostriata,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,F,F,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula libonensis,4,,yes,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula limata,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula longa,4,,yes,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula longicephala,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula lundii,4,,yes,BN,4.8,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula margalithii,4,,yes,BN,2,yes,,,,,,,,MM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula medioconvexa,4,,yes,BN,3,,,,,,,high,high,MM,,,,F,F,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula menisculus,3,,,BN,1,yes,,,,,,high,,MM,NAHON,NAHON,DO_50,FB,FB,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula meniscus,4,,yes,BN,2,yes,,,,,,,,MM,,,,BF,Halo,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula microcari,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula microdigitoradiata,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula modica,,,,BN,4,,yes,,,,,,,MM,,,,F,F,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula moskalii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula normaloides,4,,yes,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula notha,,,,BN,4.8,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula novaesiberica,,,,BN,2.8,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula oblonga,3,,,BN,,,,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula obsoleta,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula occulta,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula oppugnata,,,,BN,5,,yes,,,,,,,MM,,,,FB,FB,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula parabilis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula peregrina,4,,yes,BN,2,yes,,,,,,high,high,MM,,,,B,Halo,,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula perminuta,4,,yes,BN,2,yes,,,,,,low,low,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula phyllepta,4,,yes,BN,2.6,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula phylleptosoma,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula porifera var opportuna,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula praeterita,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula pseudoarvensis,,,,BN,,,,,,,,,,MM,,,,FB,FB,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula pseudolanceolata,,,,BN,5,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula pseudotenelloides,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula pseudoventralis,4,,yes,BN,4,,yes,,,,,high,,MM,NALON,NALON,DO_100,FB,FB,OS,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula radiosa,3,,,BN,5,,yes,,,,,low,low,MM,NAHON,NAHON,DO_75,FB,FB,BM,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula radiosa var tenella,3,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula radiosafallax,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula radiosiola,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula recens,5,,yes,BN,2.8,,,,,,,high,high,MM,,,,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula reichardtiana,3,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula reinhardtii,3,,,BN,5,,yes,,,,,,,MM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula rhynchocephala,4,,yes,BN,4,,yes,,,,,,low,MM,NAHON,NAHON,DO_30,FB,FB,BM,I,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula rhynchotella,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula ricardae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula riediana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula rostellata,5,,yes,BN,3,,,,,,,high,high,MM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula rotunda,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula ruttneri var chilensis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula salinarum,4,,yes,BN,2.6,,,,,,,,,MM,NAHON,NAHON,DO_75,B,Halo,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula salinicola,,,,BN,2,yes,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula sanctaecrucis,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula schadei,,,,BN,4.1,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,M,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula schmassmanni,2,yes,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula schroeteri,5,,yes,BN,,,,,,,,,,MM,,,DO_100,BF,Halo,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula schweigeri,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula seibigiana,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula sovereignii,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula stankovici,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula striolata,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula subinflatoides,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula submuralis,,,,BN,2.9,,,,,,,high,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula subrhynchocephala,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula subrostellata,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula subrotundata,4,,yes,BN,2.3,,,,,,,,,MM,,,,FB,FB,OS,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula supergregaria,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula symmetrica,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula tenelloides,4,,yes,BN,3,,,,,,,,high,MM,NALON,NALON,DO_100,FB,FB,OS,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula tenuipunctata,,,,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula tridentula,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula trilatera,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula tripunctata,4,,yes,BN,1,yes,,,,,,high,high,MM,NAHON,NAHON,DO_75,FB,FB,BM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula triundulata,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula trivialis,4,,yes,BN,1,yes,,,,,,high,high,MM,NAHON,NAHON,DO_50,BF,Halo,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula upsaliensis,,,,BN,5,,yes,,,,,,,MM,,,,FB,FB,BM,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula vandamii,,,,,3,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula vandamii var mertensiae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula veneta,4,,yes,BN,1,yes,,,,,,high,high,MM,NAHON,NAHON,DO_30,BF,Halo,AMPS,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula ventralis,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula vilaplanii,,,,BN,2.9,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula viridula,4,,yes,BN,3,,,,,,,high,,MM,NAHON,NAHON,DO_75,FB,FB,AM,E,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula viridula var linearis,4,,yes,BN,3,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula viridulacalcis,,,,,3,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula viridulacalcis subsp viridulacalcis,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula vitabunda,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula vulpina,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula walkeri,,,,BN,2.8,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula weberi,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula wiesneri,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Navicula wildii,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Naviculaceae,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,NA
Naviculalendicula,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula
Naviculales,,,,,,,,,,,,,,,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,NA,NA
Neidiopsis,,,,BN,3.4,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidiopsis
Neidiopsis levanderi,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidiopsis
Neidium,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
Neidium affine,,,,BN,4,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
Neidium affine var longiceps,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
Neidium alpinum,,,,BN,5,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
Neidium ampliatum,3,,,BN,5,,yes,,,,,,,MM,,,,FB,FB,,OM,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
Neidium apiculatum var constrictum,,,,BN,,,,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
Neidium binodeforme,,,,BN,4,,yes,,,,,,,MM,,,,,,,,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
Neidium binodis,,,,BN,4,,yes,,,,,,,MM,NALON,NALON,DO_100,FB,FB,OS,ME,,,,,Bacillariophyta,Bacillariophyceae,Naviculales,Neidiaceae,Neidium
